_time,Computer,User,IpAddress,attack_type,risk_score,risk_level,ip,abuse_score,country,isp,domain,is_tor,total_reports
2026-05-20T20:15:36.000+0530,MSEDGEWIN10,,-,Failed Login,70,Medium,,,,,,,
2026-05-20T20:15:36.000+0530,WIN-77LTAPHIQ1R.example.corp,,10.0.2.17,Other,20,Low,10.0.2.17,0.0,,,,False,0.0
2026-05-20T20:15:36.000+0530,WIN-77LTAPHIQ1R.example.corp,,10.0.2.17,Other,20,Low,10.0.2.17,0.0,,,,False,0.0
2026-05-20T20:15:36.000+0530,WIN-77LTAPHIQ1R.example.corp,,10.0.2.17,Other,20,Low,10.0.2.17,0.0,,,,False,0.0
2026-05-20T20:15:36.000+0530,WIN-77LTAPHIQ1R.example.corp,,10.0.2.17,Other,20,Low,10.0.2.17,0.0,,,,False,0.0
2026-05-20T20:15:36.000+0530,WIN-77LTAPHIQ1R.example.corp,,10.0.2.17,Other,20,Low,10.0.2.17,0.0,,,,False,0.0
2026-05-20T20:15:36.000+0530,WIN-77LTAPHIQ1R.example.corp,,10.0.2.17,Other,20,Low,10.0.2.17,0.0,,,,False,0.0
2026-05-20T20:15:36.000+0530,WIN-77LTAPHIQ1R.example.corp,,10.0.2.17,Other,20,Low,10.0.2.17,0.0,,,,False,0.0
2026-05-20T20:15:36.000+0530,WIN-77LTAPHIQ1R.example.corp,,10.0.2.17,Other,20,Low,10.0.2.17,0.0,,,,False,0.0
2026-05-20T20:15:36.000+0530,WIN-77LTAPHIQ1R.example.corp,,10.0.2.17,Other,20,Low,10.0.2.17,0.0,,,,False,0.0
